,isotime,temp,pressure,humidity,solarpower
0,2017-01-17T05:02:07.128762,3.0434921054402366,102050.90533246969,96.86316169479375,0.0
0,2017-01-17T05:03:05.421333,3.065320821106525,102050.72338664452,96.88378535029669,0.0
0,2017-01-17T05:03:09.966867,3.059084044633437,102051.59622547361,96.87714471091815,0.0
0,2017-01-17T05:04:07.486738,3.074675986668808,102058.03303741333,96.91730969650156,0.0
0,2017-01-17T05:05:07.032167,3.084031153254273,102056.08531716904,96.94559879094665,0.0
0,2017-01-17T05:06:07.672400,3.0809127642787644,102059.07554946787,96.98678595786902,0.0
0,2017-01-17T05:07:06.533986,3.0896442536966786,102063.38207885827,97.02537305342271,0.0
0,2017-01-17T05:08:06.281026,3.093386320862919,102057.32981349017,97.07861458167797,0.0
0,2017-01-17T05:09:07.085403,3.098999421919234,102056.00735216735,97.11649960531152,0.0
0,2017-01-17T05:10:06.963597,3.102741489494747,102055.06271523789,97.15403306839272,0.0
0,2017-01-17T05:11:06.740629,3.1002467777595486,102058.15080088851,97.18487783636499,0.0
0,2017-01-17T05:12:06.374818,3.0952573545074302,102064.64612718202,97.21514946381134,0.0
0,2017-01-17T05:13:07.205868,3.07529966440934,102066.43054899921,97.23683647895388,0.0
0,2017-01-17T05:14:06.880752,3.065944498778845,102068.37805403181,97.26613571936224,0.0
0,2017-01-17T05:15:06.525757,3.0528472686150963,102064.91822718173,97.29459585965535,0.0
0,2017-01-17T05:16:06.198444,3.0428684279316256,102068.36387898095,97.3289944593158,0.0
0,2017-01-17T05:17:07.109064,3.0422447504275625,102065.7124885355,97.36550822836941,0.0
0,2017-01-17T05:18:06.784552,3.0428684279316256,102068.04467326231,97.42846148992686,0.0
0,2017-01-17T05:19:06.504557,3.0447394604711007,102065.49763918816,97.49695782884181,0.0
0,2017-01-17T05:20:06.396565,3.0484815256728326,102069.94719550993,97.58679060686318,0.0
0,2017-01-17T05:21:07.017148,3.0459868155201546,102070.80044684334,97.68044125833191,0.0
0,2017-01-17T05:22:06.740628,3.0360079756370397,102066.2658836832,97.74623295508968,0.0
0,2017-01-17T05:23:06.514865,3.021039717995154,102071.0985427946,97.80563392832867,0.0
0,2017-01-17T05:24:06.346431,3.016050299363269,102075.07182314395,97.85163281138031,0.0
0,2017-01-17T05:25:07.130810,3.0004583680144608,102077.25275845444,97.88995695244745,0.0
0,2017-01-17T05:26:06.951786,2.9942215962707452,102078.12507375215,97.9356407833165,0.0
0,2017-01-17T05:27:06.777444,2.9836190853500737,102076.36537647719,97.95941226101955,0.0
0,2017-01-17T05:28:06.560618,2.9817480541475563,102076.35868281587,98.00083565901153,0.0
0,2017-01-17T05:29:06.244789,2.9711455447730257,102074.5989987685,98.04553693975474,0.0
0,2017-01-17T05:30:07.116156,2.9649087751666228,102072.27956879986,98.09644599515157,0.0
0,2017-01-17T05:31:06.800958,2.9449511154820356,102072.46652862521,98.11807650223655,0.0
0,2017-01-17T05:32:06.474244,2.92436978380947,102072.52296524069,98.14999140891116,0.0
