,isotime,rain_tip
0,2018-11-20T16:44:20.934218,1
0,2019-01-02T03:56:00.234394,1
0,2019-01-10T05:07:41.677307,1
0,2019-01-11T23:36:22.652514,1
0,2019-01-16T20:34:00.266394,1
0,2019-01-16T20:34:04.703545,1
0,2019-01-16T20:34:12.644551,1
0,2019-01-16T20:34:13.793639,1
0,2019-01-16T20:34:15.504444,1
0,2019-01-16T20:34:16.464571,1
0,2019-01-16T21:06:00.710077,1
0,2019-01-16T21:06:45.363271,1
0,2019-01-16T21:08:27.728420,1
0,2019-01-16T21:09:12.917471,1
0,2019-01-22T21:16:08.473171,1
0,2019-01-22T21:16:11.377725,1
0,2019-01-22T21:16:16.111668,1
0,2019-01-22T21:16:20.756470,1
0,2019-01-22T21:16:25.069906,1
0,2019-01-22T21:16:27.914099,1
0,2019-01-22T21:16:31.085358,1
0,2019-01-22T21:16:32.367292,1
0,2019-01-22T21:16:34.716515,1
0,2019-01-22T21:16:48.698850,1
0,2019-01-22T21:16:56.259345,1
0,2019-01-22T21:16:58.252669,1
0,2019-01-22T21:17:30.926109,1
0,2019-01-22T21:17:31.226167,1
0,2019-01-22T21:17:31.526216,1
0,2019-01-22T21:17:31.826374,1
0,2019-01-22T21:17:32.126378,1
0,2019-01-22T21:17:32.426392,1
0,2019-01-22T21:17:32.726404,1
0,2019-01-22T21:17:33.026482,1
0,2019-01-22T21:17:50.872778,1
0,2019-01-22T21:17:51.172863,1
0,2019-01-22T21:17:51.472915,1
0,2019-01-22T21:17:51.772956,1
0,2019-01-22T21:17:52.073011,1
0,2019-01-22T21:17:52.373182,1
0,2019-01-22T21:17:52.673217,1
0,2019-01-22T21:17:52.973215,1
0,2019-01-22T21:25:30.009353,1
0,2019-01-22T21:25:35.649960,1
0,2019-01-22T21:25:41.015115,1
0,2019-01-22T21:25:48.095818,1
0,2019-01-22T21:25:57.125357,1
0,2019-01-22T21:25:57.686233,1
0,2019-01-22T21:26:01.153128,1
0,2019-01-23T02:46:49.807379,1
0,2019-01-23T22:01:16.019698,1
0,2019-01-25T06:02:52.518788,1
0,2019-01-28T19:44:24.582249,1
0,2019-01-28T19:49:59.391320,1
0,2019-01-30T21:57:46.194535,1
0,2019-01-31T00:20:06.638476,1
0,2019-01-31T01:04:54.951271,1
0,2019-01-31T01:04:55.273449,1
0,2019-01-31T01:24:02.061573,1
0,2019-01-31T01:24:24.672488,1
0,2019-01-31T01:24:25.018862,1
0,2019-01-31T01:24:25.344031,1
0,2019-01-31T01:24:25.661993,1
0,2019-01-31T01:24:25.977169,1
0,2019-01-31T01:24:26.296655,1
0,2019-01-31T01:26:30.869970,1
0,2019-01-31T01:26:31.239643,1
0,2019-01-31T01:26:31.571990,1
0,2019-01-31T01:26:31.894151,1
0,2019-01-31T01:26:32.210493,1
0,2019-01-31T01:26:32.522152,1
0,2019-01-31T01:27:20.368232,1
0,2019-01-31T01:27:20.714448,1
0,2019-01-31T01:27:21.055521,1
0,2019-01-31T01:27:21.377934,1
0,2019-01-31T01:27:21.690871,1
0,2019-01-31T01:27:22.007136,1
0,2019-01-31T07:26:37.775982,1
0,2019-02-01T05:27:01.814099,1
0,2019-02-01T05:42:27.354850,1
0,2019-02-01T06:01:26.913225,1
0,2019-02-01T06:20:06.444220,1
0,2019-02-01T06:29:21.553117,1
0,2019-02-04T21:52:45.892765,1
0,2019-02-09T09:50:06.404258,1
0,2019-02-09T19:10:07.103164,1
0,2019-02-09T20:32:40.984622,1
0,2019-02-10T19:58:35.805632,1
0,2019-02-10T19:58:36.105719,1
0,2019-02-10T21:10:06.284397,1
0,2019-02-10T21:10:15.834707,1
0,2019-02-10T21:10:18.358369,1
0,2019-02-10T21:10:19.217991,1
0,2019-02-10T21:10:27.597091,1
0,2019-02-10T21:10:28.049341,1
0,2019-02-10T21:10:28.469325,1
0,2019-02-10T21:10:29.294949,1
0,2019-02-10T21:10:29.595016,1
0,2019-02-10T21:10:29.978333,1
0,2019-02-10T21:10:30.296873,1
0,2019-02-10T21:10:30.972335,1
0,2019-02-10T21:10:31.557989,1
0,2019-02-10T21:10:32.143811,1
0,2019-02-10T21:10:38.842875,1
0,2019-02-10T21:10:39.169099,1
0,2019-02-10T21:10:40.930902,1
0,2019-02-10T21:10:42.471767,1
0,2019-02-10T21:10:42.947670,1
0,2019-02-10T21:10:46.090254,1
0,2019-02-10T21:10:46.817232,1
0,2019-02-10T21:10:47.349143,1
0,2019-02-10T21:10:47.681890,1
0,2019-02-10T21:10:47.984483,1
0,2019-02-10T21:10:48.834528,1
0,2019-02-10T21:10:49.445170,1
0,2019-02-10T21:10:49.779066,1
0,2019-02-10T21:10:50.457668,1
0,2019-02-10T21:10:50.913073,1
0,2019-02-10T21:10:51.213802,1
0,2019-02-10T21:10:51.559434,1
0,2019-02-10T21:10:51.859632,1
0,2019-02-10T21:10:52.575583,1
0,2019-02-10T21:10:52.910409,1
0,2019-02-10T21:10:53.838856,1
0,2019-02-10T21:10:55.920493,1
0,2019-02-10T21:10:56.533149,1
0,2019-02-10T21:10:56.914473,1
0,2019-02-10T21:10:57.389273,1
0,2019-02-10T21:10:58.916392,1
0,2019-02-10T21:11:11.654767,1
0,2019-02-10T21:11:13.891603,1
0,2019-02-10T21:11:14.194313,1
0,2019-02-10T21:11:14.722953,1
0,2019-02-10T21:11:15.177253,1
0,2019-02-10T21:11:15.480301,1
0,2019-02-10T21:11:15.799008,1
0,2019-02-10T21:11:16.187794,1
0,2019-02-10T21:11:16.633497,1
0,2019-02-10T21:11:16.941859,1
0,2019-02-10T21:11:17.249610,1
0,2019-02-10T21:11:17.571002,1
0,2019-02-10T21:11:18.313550,1
0,2019-02-10T21:11:18.873787,1
0,2019-02-10T21:11:19.822769,1
0,2019-02-10T21:11:20.297311,1
0,2019-02-10T21:11:21.838962,1
0,2019-02-10T21:11:22.778478,1
0,2019-02-10T21:11:24.341087,1
0,2019-02-10T21:11:24.665714,1
0,2019-02-10T21:11:25.007515,1
0,2019-02-10T21:11:25.316299,1
0,2019-02-10T21:11:25.641957,1
0,2019-02-10T21:11:25.974739,1
0,2019-02-10T21:11:26.284444,1
0,2019-02-10T21:11:26.584783,1
0,2019-02-10T21:11:26.885318,1
0,2019-02-10T21:11:27.185406,1
0,2019-02-10T21:11:27.487661,1
0,2019-02-10T21:11:27.787868,1
0,2019-02-10T21:11:28.087891,1
0,2019-02-10T21:11:28.387886,1
0,2019-02-10T21:11:28.688004,1
0,2019-02-10T21:11:28.988637,1
0,2019-02-10T21:11:29.303400,1
0,2019-02-10T21:11:29.647975,1
0,2019-02-10T21:11:30.388102,1
0,2019-02-10T21:11:30.874477,1
0,2019-02-10T21:11:31.356446,1
0,2019-02-10T21:11:31.699636,1
0,2019-02-10T21:11:32.040385,1
0,2019-02-10T21:11:32.599902,1
0,2019-02-10T21:11:34.038207,1
0,2019-02-10T21:11:34.501115,1
0,2019-02-10T21:11:34.801210,1
0,2019-02-10T21:11:35.101683,1
0,2019-02-10T21:11:35.405260,1
0,2019-02-10T21:11:35.709711,1
0,2019-02-10T21:11:36.897131,1
0,2019-02-10T21:11:37.355324,1
0,2019-02-10T21:11:37.822800,1
0,2019-02-10T21:11:38.124781,1
0,2019-02-10T21:11:38.427954,1
0,2019-02-10T21:11:38.779089,1
0,2019-02-10T21:11:39.147808,1
0,2019-02-10T21:11:39.448124,1
0,2019-02-10T21:11:39.767778,1
0,2019-02-10T21:11:40.082333,1
0,2019-02-10T21:11:40.386111,1
0,2019-02-10T21:11:40.733521,1
0,2019-02-10T21:11:41.044385,1
0,2019-02-10T21:11:41.363448,1
0,2019-02-10T21:11:41.663628,1
0,2019-02-10T21:11:41.963723,1
0,2019-02-10T21:11:42.263887,1
0,2019-02-10T21:11:42.623230,1
0,2019-02-10T21:11:42.994931,1
0,2019-02-10T21:11:43.295309,1
0,2019-02-10T21:11:43.605504,1
0,2019-02-10T21:11:43.906370,1
0,2019-02-10T21:11:44.207832,1
0,2019-02-10T21:11:44.510382,1
0,2019-02-10T21:11:44.820299,1
0,2019-02-10T21:11:45.120344,1
0,2019-02-10T21:11:45.930488,1
0,2019-02-10T21:11:46.305155,1
0,2019-02-10T21:11:46.615526,1
0,2019-02-10T21:11:46.917889,1
0,2019-02-10T21:11:47.220212,1
0,2019-02-10T21:11:47.520349,1
0,2019-02-10T21:11:47.851766,1
0,2019-02-10T21:11:48.169525,1
0,2019-02-10T21:11:48.470791,1
0,2019-02-10T21:11:48.771884,1
0,2019-02-10T21:11:49.081261,1
0,2019-02-10T21:11:49.381633,1
0,2019-02-10T21:11:49.681563,1
0,2019-02-10T21:11:49.981771,1
0,2019-02-10T21:11:50.281827,1
0,2019-02-10T21:11:50.585080,1
0,2019-02-10T21:11:50.885564,1
0,2019-02-10T21:11:51.185682,1
0,2019-02-10T21:11:51.487978,1
0,2019-02-10T21:11:51.788128,1
0,2019-02-10T21:11:52.088431,1
0,2019-02-10T21:32:41.279792,1
0,2019-02-10T21:32:42.101807,1
0,2019-02-10T21:32:42.550925,1
0,2019-02-10T21:32:42.852805,1
0,2019-02-10T21:32:43.208984,1
0,2019-02-10T21:32:44.077967,1
0,2019-02-10T21:32:44.388461,1
0,2019-02-10T21:32:44.713313,1
0,2019-02-10T21:32:45.013350,1
0,2019-02-10T21:32:45.321669,1
0,2019-02-10T21:32:45.767323,1
0,2019-02-10T21:32:48.886359,1
