,isotime,temp,pressure,humidity,solarpower
0,2019-01-16T20:40:07.019238,12.79524581040323,101135.6987903986,100,275.968
0,2019-01-16T20:50:06.606428,12.864481934198192,101131.49750242256,100,388.86400000000003
0,2019-01-16T21:00:06.668795,12.8058495374411,101168.23024665288,100,74.49600000000001
0,2019-01-16T21:10:06.403656,12.845145713805778,101112.44018844186,100,275.968
0,2019-01-16T21:20:06.783688,12.921866872060127,101098.71660782977,100,376.32
0,2019-01-16T21:30:07.112405,12.878204415837535,101113.95705482391,100,288.512
0,2019-01-16T21:40:06.326153,12.828928242007624,101088.0594494725,100,263.42400000000004
0,2019-01-16T21:50:07.016492,12.797740804882142,101094.93717687414,100,248.32
0,2019-01-16T22:00:06.954189,12.772167114922558,101097.8785128927,100,186.24
0,2019-01-16T22:10:06.809510,12.744098439619938,101103.96959616669,100,161.40800000000002
0,2019-01-16T22:20:06.272384,12.767800875937336,101094.90503842251,100,198.656
0,2019-01-16T22:30:06.625589,12.835789479700907,101075.23640204009,100,322.81600000000003
0,2019-01-16T22:40:06.991688,12.91500562746378,101077.16633438841,100,413.952
0,2019-01-16T22:50:06.719370,13.042874367185869,101067.95351739992,100,664.832
0,2019-01-16T23:00:06.798716,13.239979725681769,101071.34710671053,100,639.744
0,2019-01-16T23:10:06.766158,13.487609569676806,101062.88290343959,100,426.49600000000004
0,2019-01-16T23:20:07.181650,13.775160489383051,101051.1636011643,100,322.81600000000003
0,2019-01-16T23:30:06.486204,13.94482222288534,101066.91474480026,100,161.40800000000002
0,2019-01-16T23:40:06.979274,13.953554821213766,101060.2317780592,100,248.32
0,2019-01-16T23:50:06.692123,13.983495165106433,101036.53356440384,100,347.648
0,2019-01-17T00:00:06.438489,14.040880853519775,101018.63521653948,100,310.40000000000003
0,2019-01-17T00:10:06.368762,14.055851039435947,101002.86873881913,100,223.488
0,2019-01-17T00:20:06.705605,14.05210849271134,100960.67719049325,100,173.824
0,2019-01-17T00:30:07.256777,14.050860977172851,100934.17053467725,100,148.99200000000002
0,2019-01-17T00:40:06.550008,14.001584127952174,100919.63275954023,100,99.328
0,2019-01-17T00:50:06.273437,13.954802335333444,100906.45364883002,100,74.49600000000001
0,2019-01-17T01:00:07.110523,13.966653720377598,100929.8386017972,100,12.416
0,2019-01-17T01:10:06.982991,14.01967309462234,100899.50304941072,100,12.416
0,2019-01-17T01:20:06.379207,14.072692501722576,100891.28541781213,100,0.0
0,2019-01-17T01:30:06.870819,14.02653442780802,100851.89049400199,100,0.0
0,2019-01-17T01:40:06.369104,14.003455400188978,100847.80355068616,100,0.0
0,2019-01-17T01:50:07.110963,14.02653442780802,100867.80856648477,100,0.0
0,2019-01-17T02:00:07.093034,14.11760308402745,100886.59949501569,100,0.0
0,2019-01-17T02:10:06.886230,14.147543485327423,100879.1317616581,100,0.0
0,2019-01-17T02:20:06.283489,14.184969001686204,100885.90419142776,100,0.0
0,2019-01-17T02:30:06.851390,14.177483897104775,100860.6150479513,100,0.0
0,2019-01-17T02:40:06.210219,14.149414760756553,100769.9524609316,100,0.0
0,2019-01-17T02:50:06.880204,14.134444558469477,100818.18579306047,100,0.0
0,2019-01-17T03:00:06.752980,14.168127517298853,100868.18290000278,100,0.0
0,2019-01-17T03:10:06.641687,14.191206589337616,100888.51748607882,100,0.0
0,2019-01-17T03:20:06.997327,14.188711554222483,100932.3277231744,100,0.0
0,2019-01-17T03:30:06.524433,14.215533185523237,100907.45192992297,100,0.0
0,2019-01-17T03:40:07.083016,14.256701287132818,100938.23075627316,100,0.0
0,2019-01-17T03:50:06.812369,14.207424319359507,100927.59148417265,100,0.0
0,2019-01-17T04:00:06.719383,14.189959071770954,100911.39743287097,100,0.0
0,2019-01-17T04:10:06.576171,14.158771138516112,100865.35277573843,100,0.0
0,2019-01-17T04:20:07.136610,14.119474358801744,100782.26697266025,100,0.0
0,2019-01-17T04:30:06.434161,14.095771548018092,100793.68206642635,100,0.0
0,2019-01-17T04:40:06.812319,14.06520740696369,100777.95904516784,100,0.0
0,2019-01-17T04:50:06.450164,14.163137448487396,100811.17313476774,100,0.0
0,2019-01-17T05:00:06.471272,14.223018293433416,100794.60258602384,100,0.0
0,2019-01-17T05:10:06.278726,14.275414067140082,100839.24610848447,100,0.0
0,2019-01-17T05:20:06.502818,14.329681152305511,100829.87370838544,100,0.0
0,2019-01-17T05:30:06.720807,14.350888988046155,100887.9520739604,100,0.0
0,2019-01-17T05:40:06.967444,14.29974068726815,100856.84822836373,100,0.0
0,2019-01-17T05:50:06.780791,14.039633338144995,100931.02037163966,100,0.0
0,2019-01-17T06:00:06.648554,13.707171139133516,100901.07230384042,100,0.0
0,2019-01-17T06:10:06.513553,13.32293876234844,100963.57344094878,100,0.0
0,2019-01-17T06:20:06.916984,13.052854374423623,100955.08553814996,100,0.0
0,2019-01-17T06:30:06.370430,12.875709419012129,100989.6699322308,100,0.0
0,2019-01-17T06:40:06.916804,12.856373196082222,101019.58001530444,100,0.0
0,2019-01-17T06:50:06.735307,12.786513330300021,101012.99825830791,100,0.0
0,2019-01-17T07:00:06.479824,12.68546612536311,101029.53537159094,100,0.0
0,2019-01-17T07:10:06.292220,12.640556294810176,101039.0360042382,100,0.0
0,2019-01-17T07:20:06.612296,12.76904837276752,101058.13639863905,100,0.0
0,2019-01-17T07:30:06.992806,12.829551990866094,101075.18550261088,100,0.0
0,2019-01-17T07:40:06.344145,12.92623311890793,101106.91138634604,100,0.0
0,2019-01-17T07:50:07.041018,12.896916894347305,101117.3533852126,100,0.0
