,isotime,temp,temp_mcp9808,pressure,humidity
0,2016-10-28T22:59:03.927792,22.387165826001727,22.375,101247.00790148966,71.78384265273378
0,2016-10-28T22:59:32.029471,22.384046733372905,22.375,101249.46332496761,71.81643684853917
0,2016-10-28T23:00:04.123902,22.395899285967243,22.375,101249.42501095869,71.68596182196717
0,2016-10-28T23:01:04.290288,22.39340401160043,22.375,101243.7434350895,71.48146051258296
0,2016-10-28T23:02:04.468331,22.382175277850184,22.3125,101247.16999012083,71.93194969087999
0,2016-10-28T23:03:04.633634,22.387789644541137,22.375,101249.40821205349,71.46952633132616
0,2016-10-28T23:04:04.820356,22.385294370410794,22.3125,101253.27606998275,70.6912487593637
0,2016-10-28T23:05:03.982730,22.399642197653883,22.375,101248.05269353236,70.89767142994894
0,2016-10-28T23:06:04.161162,22.37406563772465,22.375,101250.4777615848,70.50190099212331
0,2016-10-28T23:07:04.344444,22.382175277850184,22.3125,101249.14571133161,71.02730329296237
0,2016-10-28T23:08:04.513175,22.377808548456322,22.375,101245.81268664241,70.22106977076172
0,2016-10-28T23:09:04.688476,22.4052565654908,22.375,101248.94198775594,70.28605005879744
0,2016-10-28T23:10:03.856209,22.412742389846336,22.3125,101250.18065299402,70.15479654810643
0,2016-10-28T23:11:04.006387,22.418980577309505,22.375,101250.20907879554,70.10610394483705
0,2016-10-28T23:12:04.236343,22.40026601628424,22.375,101248.14797490054,69.57886533295502
0,2016-10-28T23:13:04.428259,22.39527546736872,22.375,101248.96867312606,69.93682176695108
0,2016-10-28T23:14:04.591460,22.404008928161876,22.375,101250.72721562888,69.73398396609949
0,2016-10-28T23:15:04.737926,22.38841346308509,22.3125,101255.4307250848,69.48870786168646
0,2016-10-28T23:16:03.925138,22.38841346308509,22.375,101254.11356227928,70.0626856621339
0,2016-10-28T23:17:04.108775,22.382175277850184,22.375,101253.09715664064,70.12793113305933
0,2016-10-28T23:18:04.249289,22.383422914860784,22.375,101251.3437674406,70.27713759515466
0,2016-10-28T23:19:04.438108,22.407128021518293,22.375,101253.86979822637,70.90436087056176
0,2016-10-28T23:20:04.623553,22.460152625971478,22.4375,101254.90291308831,72.57875315612903
